Name	Current price	Original price	Link	Rating	Rate Count
Lót chuột Razer Goliathus Chroma RGB Extended Quartz RZ02-02500316-R3M1	1.390.000 VND	1.990.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-extended-quartz-rz02-02500316-r3m1	0	0
Lót chuột Razer Goliathus Chroma RGB Extended Mercury RZ02-02500314-R3M1	1.390.000 VND	1.990.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-extended-mercury-rz02-02500314-r3m1	0	0
Chuột không dây Razer Pro Click Humanscale RZ01-02990100-R3M1	1.390.000 VND	2.590.000 VND	https://memoryzone.com.vn/chuot-khong-day-razer-pro-click-humanscale-rz01-02990100-r3m1	0	0
Bàn phím cơ TKL Logitech G413 SE 920-010448	1.390.000 VND	1.590.000 VND	https://memoryzone.com.vn/ban-phim-co-tkl-logitech-g413-se-920-010448	0	0
Bàn phím cơ không dây AKKO 5075B Plus White RGB (AKKO Sw V3 Pro)	1.450.000 VND	2.090.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-akko-5075b-plus-white-rgb-akko-sw-v3-pro	0	0
Bàn phím cơ không dây AKKO 3098B Plus Black RGB (AKKO Sw V3 Pro)	1.490.000 VND	2.090.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-akko-3098b-plus-black-rgb-akko-sw-v3-pro	0	0
Chuột không dây Logitech MX Anywhere 3S	1.490.000 VND	1.890.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-mx-anywhere-3s	5	5
Chuột không dây Dell Premier Rechargeable MS7421W	1.490.000 VND	1.790.000 VND	https://memoryzone.com.vn/chuot-khong-day-dell-premier-rechargeable-ms7421w	0	0
Chuột Gaming Razer DeathAdder V3 Ultra-lightweight RZ01-04640100-R3M1	1.490.000 VND	1.990.000 VND	https://memoryzone.com.vn/chuot-gaming-razer-deathadder-v3-ultra-lightweight-rz01-04640100-r3m1	0	0
Tai Nghe Gaming không dây Corsair HS55 Wireless Core Bluetooth CA-9011290-AP	1.490.000 VND	2.190.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-khong-day-corsair-hs55-wireless-core-bluetooth-ca-9011290-ap	0	0
Lót chuột Razer Goliathus Chroma RGB Extended Black RZ02-02500300-R3M1	1.490.000 VND	1.890.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-extended-black-rz02-02500300-r3m1	5	1
Chuột Gaming không dây Razer Basilisk V3 X HyperSpeed RZ01-04870100-R3A1	1.540.000 VND	2.090.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-razer-basilisk-v3-x-hyperspeed-rz01-04870100-r3a1	0	0
Tai Nghe Bluetooth ASUS ROG Cetra True Wireless	1.590.000 VND	2.190.000 VND	https://memoryzone.com.vn/tai-nghe-bluetooth-asus-rog-cetra-true-wireless	0	0
Đế sạc chuột Razer Mouse Dock Pro Puck Bundle RZ81-01990100-B3M1	1.590.000 VND	1.990.000 VND	https://memoryzone.com.vn/de-sac-chuot-razer-mouse-dock-pro-puck-bundle-rz81-01990100-b3m1	0	0
Bàn phím cơ không dây AKKO 3098B Multi-modes Blue on White (Akko CS Sw)	1.690.000 VND	2.599.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-akko-3098b-multi-modes-blue-on-white	0	0
Bàn phím cơ HyperX Alloy Origins RGB HyperX Red/HyperX Aqua/HyperX Blue	1.850.000 VND	2.590.000 VND	https://memoryzone.com.vn/ban-phim-co-hyperx-alloy-origins-rgb-hyperx-red-hyperx-aqua-hyperx-blue	5	1
Loa Logitech Z407 980-001351	1.890.000 VND	2.090.000 VND	https://memoryzone.com.vn/loa-logitech-z407-980-001351	0	0
Bàn phím cơ Corsair K70 Core RGB Black CH-910971E-NA	1.990.000 VND	2.690.000 VND	https://memoryzone.com.vn/ban-phim-co-corsair-k70-core-rgb-black-ch-910971e-na	0	0
Tai Nghe Gaming HyperX Cloud III	2.130.000 VND	2.990.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-hyperx-cloud-iii	0	0
Tai Nghe Bluetooth JBL Tune Beam	2.150.000 VND	2.490.000 VND	https://memoryzone.com.vn/tai-nghe-bluetooth-jbl-tune-beam	0	0
Tai Nghe Gaming không dây Corsair HS55 Wireless	2.150.000 VND	2.490.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-khong-day-corsair-hs55-wireless	0	0
Tai Nghe không dây Razer Barracuda X 2022 RZ04-04430100-R3M1	2.190.000 VND	2.700.000 VND	https://memoryzone.com.vn/tai-nghe-khong-day-razer-barracuda-x-2022-rz04-04430100-r3m1	0	0
Chuột không dây Logitech MX Master 3S For Mac Pale Grey 910-006574	2.220.000 VND	2.490.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-mx-master-3s-for-mac-pale-grey-910-006574	0	0
Chuột không dây Logitech MX Master 3S For Mac Space Grey 910-006573	2.220.000 VND	2.490.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-mx-master-3s-for-mac-space-grey-910-006573	0	0
Chuột không dây Logitech MX Master 3S Pale Gray 910-006562	2.220.000 VND	2.490.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-mx-master-3s-pale-gray-910-006562	0	0
Chuột không dây Logitech MX Master 3S Graphite 910-006561	2.220.000 VND	2.490.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-mx-master-3s-graphite-910-006561	5	1
Tay cầm điện thoại Razer Kishi V2 Gaming Controller for iPhone RZ06-04190100-R3M1	2.290.000 VND	2.890.000 VND	https://memoryzone.com.vn/tay-cam-dien-thoai-razer-kishi-v2-gaming-controller-for-iphone-rz06-04190100-r3m1	0	0
Bàn phím cơ không dây Keychron K4 Pro RGB Hotswap (Keychron K Pro Sw)	2.290.000 VND	2.890.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-keychron-k4-pro-rgb-hotswap-keychron-k-pro-sw	5	1
Bàn phím cơ không dây TKL Keychron K8 Pro Aluminum Frame RGB Hotswap (Gateron Sw)	2.290.000 VND	2.990.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-tkl-keychron-k8-pro-aluminum-frame-rgb-hotswap-gateron-sw	5	4
Tai Nghe Gaming Razer Kraken V3 HyperSense RZ04-03770100-R3M1	2.290.000 VND	3.190.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-razer-kraken-v3-hypersense-rz04-03770100-r3m1	0	0
Bàn phím cơ không dây Razer BlackWidow V3 Mini HyperSpeed Razer Green/Razer Yellow	2.290.000 VND	3.990.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-razer-blackwidow-v3-mini-hyperspeed-razer-green-razer-yellow	5	7
Tai Nghe Gaming không dây Logitech RGB Lightspeed G733 7.1 Surround	2.290.000 VND	2.990.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-khong-day-logitech-rgb-lightspeed-g733-7-1-surround	5	2
Chuột không dây Logitech LIGHTSPEED G502 HERO 910-005569	2.300.000 VND	2.650.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-lightspeed-g502-910-005569	5	1
Bàn phím không dây Logitech MX Keys S Pale Gray 920-011564	2.390.000 VND	3.390.000 VND	https://memoryzone.com.vn/ban-phim-khong-day-logitech-mx-keys-s-pale-gray-920-011564	0	0
Bàn phím không dây Logitech MX Keys S Graphite 920-011563	2.390.000 VND	3.390.000 VND	https://memoryzone.com.vn/ban-phim-khong-day-logitech-mx-keys-s-graphite-920-011563	5	1
Tai Nghe Gaming Logitech Pro X Blue Voice 7.1 Surround 981-000820	2.390.000 VND	2.990.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-logitech-pro-x-blue-voice-7-1-surround-981-000820	5	1
Loa Razer Leviathan V2 X Led RGB RZ05-04280100-R3M1	2.450.000 VND	2.890.000 VND	https://memoryzone.com.vn/loa-razer-leviathan-v2-x-led-rgb-rz05-04280100-r3m1	0	0
